,batter_id,height,weight,age,position,bats,throws
432,572039,"6' 3""",210,27,RF,R,R
433,444843,"6' 2""",210,36,RF,L,L
434,547982,"6' 2""",200,30,CF,L,R
435,571553,"6' 1""",220,28,LF,L,L
436,475253,"6' 4""",220,31,1B,S,L
437,570615,"6' 7""",260,27,RF,L,R
438,543308,"6' 2""",230,29,1B,R,R
439,571980,"6' 2""",195,27,RF,L,R
440,456781,"5' 10""",205,30,2B,R,R
441,519345,"6' 2""",200,30,1B,S,R
442,435064,"6' 0""",230,35,C,R,R
443,606466,"6' 1""",165,24,2B,S,R
444,429666,"6' 1""",200,36,SS,R,R
445,572019,"6' 4""",210,30,1B,L,R
446,572233,"6' 0""",220,27,1B,R,R
447,502029,"6' 3""",229,30,OF,R,R
448,471083,"5' 11""",221,35,C,L,R
449,542194,"6' 2""",213,27,C,R,R
450,543305,"6' 1""",202,29,CF,S,R
451,499624,"6' 4""",210,34,1B,R,R
452,605512,"6' 0""",210,28,LF,L,L
453,430637,"6' 1""",200,36,2B,L,R
454,514888,"5' 6""",165,28,2B,R,R
455,621439,"6' 2""",190,24,CF,R,R
456,502082,"6' 2""",190,30,RF,L,R
457,456714,"6' 0""",260,32,DH,R,R
458,611177,"5' 9""",205,33,3B,R,R
459,594777,"5' 10""",200,30,RF,L,L
460,592808,"5' 9""",192,26,LF,L,R
461,598284,"6' 4""",235,28,LF,R,R
462,488721,"6' 1""",175,31,CF,R,R
463,407893,"6' 3""",225,38,1B,S,R
464,543685,"6' 1""",200,28,3B,R,R
465,465674,"6' 0""",180,33,2B,R,R
466,476633,"6' 1""",220,30,1B,L,L
467,608596,"6' 1""",220,27,C,R,R
468,542994,"6' 2""",220,32,LF,R,R
469,606192,"6' 2""",180,25,LF,R,R
470,502210,"6' 2""",195,31,RF,L,R
471,425784,"5' 10""",215,35,C,R,R
472,605204,"6' 3""",225,25,3B,R,R
473,620439,"5' 10""",190,22,2B,R,R
474,435062,"5' 11""",220,35,2B,R,R
475,518649,"6' 4""",215,29,CF,R,R
476,488771,"6' 3""",215,31,C,L,R
477,501571,"6' 1""",215,29,CF,R,R
478,475247,"6' 3""",220,32,3B,L,R
479,519333,"6' 0""",200,29,RF,R,R
480,543742,"6' 4""",225,31,1B,R,R
481,489232,"6' 2""",240,35,C,R,R
482,134181,"5' 11""",220,39,3B,R,R
483,543484,"6' 1""",216,28,CF,R,R
484,456665,"5' 11""",200,35,1B,R,R
485,607369,"6' 2""",224,29,RF,R,R
486,434158,"6' 1""",200,37,LF,L,R
487,605137,"6' 4""",235,26,1B,S,R
488,574847,"6' 2""",220,29,3B,R,R
489,571437,"6' 5""",215,27,CF,R,R
490,459431,"6' 4""",225,31,OF,L,R
491,571697,"5' 10""",185,28,2B,L,R
492,400121,"6' 2""",235,39,DH,S,R
493,643217,"5' 10""",170,24,LF,L,L
494,646240,"6' 0""",237,21,3B,L,R
495,666561,"6' 0""",215,31,3B,R,R
496,502188,"6' 5""",240,33,P,R,R
497,461858,"6' 2""",215,32,3B,R,R
498,572122,"6' 0""",210,30,3B,L,R
499,489138,"6' 2""",220,31,1B,R,R
500,488671,"5' 11""",210,31,C,L,R
501,518960,"6' 0""",200,32,C,R,R
502,457775,"6' 2""",210,31,CF,R,R
503,425772,"6' 0""",205,35,C,R,R
504,453056,"6' 1""",195,35,CF,L,L
505,500871,"5' 10""",185,29,3B,S,R
506,459964,"6' 2""",205,34,LF,L,R
507,547957,"6' 2""",210,30,RF,L,R
508,572008,"5' 10""",185,27,2B,R,R
509,472528,"5' 10""",215,32,3B,L,R
510,571448,"6' 2""",205,27,3B,R,R
511,503556,"6' 1""",205,29,LF,S,R
512,501896,"6' 2""",220,35,3B,R,R
513,545358,"5' 10""",200,27,C,R,R
514,346874,"6' 0""",245,39,SS,R,R
515,431151,"6' 0""",205,35,3B,R,R
516,407781,"6' 0""",245,41,CF,R,R
517,576397,"5' 10""",215,30,3B,R,R
518,435522,"6' 3""",210,33,1B,S,R
519,592789,"6' 6""",240,26,P,L,R
520,542583,"6' 3""",250,28,1B,R,R
521,451594,"6' 5""",195,32,RF,S,R
522,489305,"6' 0""",215,31,1B,R,R
523,595978,"6' 1""",206,26,C,R,R
524,572138,"6' 2""",230,27,1B,L,L
525,446653,"6' 1""",205,33,C,S,R
526,621446,"6' 3""",195,24,CF,R,R
527,434567,"6' 1""",225,35,C,R,R
528,572180,"6' 1""",215,28,C,R,R
529,462101,"6' 0""",200,30,SS,R,R
530,519025,"6' 3""",220,30,3B,R,R
531,543510,"6' 3""",225,28,C,R,R
532,543063,"6' 2""",227,31,SS,L,R
533,502517,"6' 1""",221,33,2B,L,R
534,457763,"6' 1""",210,31,C,R,R
535,596144,"6' 1""",210,25,3B,R,R
536,446308,"6' 5""",235,32,C,S,R
537,592230,"6' 3""",225,26,SS,S,R
538,474832,"6' 4""",235,30,1B,L,L
539,572669,"6' 4""",220,28,CF,R,R
540,453923,"5' 10""",187,34,CF,L,L
541,465041,"6' 1""",210,32,C,R,R
542,570560,"5' 11""",185,26,3B,S,R
543,457759,"5' 11""",205,33,3B,R,R
544,458731,"5' 11""",195,35,LF,L,L
545,547179,"6' 3""",217,26,P,R,R
546,408314,"6' 0""",195,35,3B,S,R
547,571970,"6' 0""",210,28,1B,L,R
548,516809,"6' 2""",230,28,OF,R,R
549,408236,"6' 2""",215,36,1B,L,L
550,605125,"6' 1""",205,28,OF,L,R
551,543401,"5' 11""",195,31,2B,L,R
552,453562,"6' 4""",225,32,P,R,R
553,641313,"6' 1""",185,25,SS,R,R
554,467827,"5' 11""",210,31,LF,L,L
555,591741,"6' 3""",240,25,3B,R,R
556,607054,"6' 0""",215,28,3B,L,R
557,500208,"5' 11""",205,31,3B,S,R
558,592261,"5' 9""",200,26,CF,R,R
559,400284,"6' 1""",195,39,2B,L,R
560,455976,"6' 1""",210,34,RF,L,L
561,456488,"6' 0""",195,31,2B,R,R
562,434658,"5' 10""",195,37,CF,R,R
563,570482,"6' 0""",215,26,3B,R,R
564,448605,"6' 1""",210,36,CF,R,R
565,408307,"6' 2""",230,37,LF,L,L
566,593647,"6' 2""",205,26,RF,L,L
567,430404,"6' 1""",230,37,LF,R,R
568,571745,"6' 2""",215,27,RF,R,R
569,434563,"5' 10""",215,39,C,R,R
570,493329,"6' 0""",190,34,1B,R,R
571,455139,"6' 1""",210,34,C,R,R
572,572821,"5' 11""",200,31,2B,R,R
573,430321,"6' 3""",240,33,RF,R,R
574,581527,"5' 9""",190,27,2B,R,R
575,621559,"5' 10""",185,25,SS,S,R
576,425560,"6' 2""",205,38,1B,L,L
577,624507,"6' 2""",221,24,3B,L,R
578,607223,"6' 4""",275,25,1B,L,L
579,491696,"6' 0""",200,30,C,R,R
580,642156,"6' 2""",220,26,C,R,R
581,544369,"6' 3""",205,28,SS,L,R
582,606115,"6' 0""",165,24,SS,R,R
583,593160,"6' 0""",195,29,2B,R,R
584,594809,"5' 9""",176,29,RF,L,L
585,116338,"6' 2""",220,43,CF,R,R
586,592200,"6' 3""",235,29,C,R,R
587,425796,"6' 4""",225,34,RF,R,R
588,501983,"6' 0""",235,30,RF,L,L
589,571718,"6' 0""",200,27,CF,L,R
590,425557,"6' 2""",220,37,2B,R,R
591,408252,"6' 0""",211,37,2B,R,R
592,608385,"6' 3""",215,25,RF,L,L
593,430611,"6' 6""",240,36,RF,R,R
594,605233,"6' 3""",205,25,CF,L,R
595,640447,"5' 10""",207,26,RF,R,R
596,408045,"6' 5""",225,35,1B,L,R
597,542454,"5' 11""",185,27,CF,S,R
598,605486,"6' 0""",195,27,3B,L,R
599,571812,"6' 3""",255,30,1B,R,L
600,452655,"6' 0""",210,34,LF,L,L
601,429713,"6' 2""",205,36,CF,L,L
602,543760,"6' 0""",195,28,SS,R,R
603,571681,"6' 0""",160,27,CF,L,L
